,date,DX
298,2001-04-06,5.9747
299,2001-04-09,4.9446
300,2001-04-10,6.1964
301,2001-04-11,11.4236
302,2001-04-12,14.311
303,2001-04-16,14.311
304,2001-04-17,16.2894
305,2001-04-18,29.8081
306,2001-04-19,36.6999
307,2001-04-20,41.4259
308,2001-04-23,33.436
309,2001-04-24,36.8622
310,2001-04-25,36.8622
311,2001-04-26,39.7119
312,2001-04-27,29.3511
313,2001-04-30,29.3511
314,2001-05-01,32.7119
315,2001-05-02,34.9449
316,2001-05-03,28.5523
317,2001-05-04,31.0253
318,2001-05-07,34.0628
319,2001-05-08,34.0628
320,2001-05-09,28.971
321,2001-05-10,28.971
322,2001-05-11,21.4482
323,2001-05-14,19.4881
324,2001-05-15,17.773
325,2001-05-16,13.9288
326,2001-05-17,15.0613
327,2001-05-18,13.2514
328,2001-05-21,16.8758
329,2001-05-22,18.509
330,2001-05-23,23.9689
331,2001-05-24,22.3126
332,2001-05-25,22.8551
333,2001-05-29,20.5658
334,2001-05-30,10.755
335,2001-05-31,9.0864
336,2001-06-01,10.8951
337,2001-06-04,12.7229
338,2001-06-05,23.3737
339,2001-06-06,25.2385
340,2001-06-07,26.4166
341,2001-06-08,26.1655
342,2001-06-11,21.5888
343,2001-06-12,15.8543
344,2001-06-13,14.4741
345,2001-06-14,1.7589
346,2001-06-15,13.3122
347,2001-06-18,15.3554
348,2001-06-19,9.174
349,2001-06-20,4.2832
350,2001-06-21,1.7286
351,2001-06-22,0.4118
352,2001-06-25,5.4029
353,2001-06-26,2.7267
354,2001-06-27,5.5994
355,2001-06-28,27.3062
356,2001-06-29,27.3062
357,2001-07-02,19.0963
358,2001-07-03,17.6902
359,2001-07-05,8.5531
360,2001-07-06,5.7639
361,2001-07-09,8.6483
362,2001-07-10,11.7621
363,2001-07-11,8.9299
364,2001-07-12,15.0809
365,2001-07-13,15.0809
366,2001-07-16,11.0385
367,2001-07-17,10.9866
368,2001-07-18,9.5303
369,2001-07-19,15.9776
370,2001-07-20,0.3659
371,2001-07-23,7.0497
372,2001-07-24,9.6577
373,2001-07-25,10.0256
374,2001-07-26,10.4946
375,2001-07-27,12.4595
376,2001-07-30,8.9352
377,2001-07-31,6.1019
378,2001-08-01,6.5534
379,2001-08-02,2.3516
380,2001-08-03,3.7742
381,2001-08-06,5.5568
382,2001-08-07,5.5568
383,2001-08-08,13.8462
384,2001-08-09,14.8428
385,2001-08-10,21.8541
386,2001-08-13,20.8813
387,2001-08-14,22.3864
388,2001-08-15,28.3636
389,2001-08-16,30.6135
390,2001-08-17,35.7144
391,2001-08-20,37.3308
392,2001-08-21,33.3597
393,2001-08-22,39.9775
394,2001-08-23,36.6475
395,2001-08-24,30.2118
396,2001-08-27,21.5355
397,2001-08-28,26.2755
398,2001-08-29,30.892
399,2001-08-30,41.9945
400,2001-08-31,42.7004
401,2001-09-04,34.7004
402,2001-09-05,37.1722
403,2001-09-06,37.1722
404,2001-09-07,39.3782
405,2001-09-10,41.6095
406,2001-09-17,47.8972
407,2001-09-18,47.8972
408,2001-09-19,55.1377
409,2001-09-20,55.1377
410,2001-09-21,62.2982
411,2001-09-24,47.8057
412,2001-09-25,43.7876
413,2001-09-26,45.5168
414,2001-09-27,49.6587
415,2001-09-28,42.943
416,2001-10-01,36.4956
417,2001-10-02,29.4064
418,2001-10-03,10.0405
419,2001-10-04,2.9849
420,2001-10-05,8.3302
421,2001-10-08,5.2072
422,2001-10-09,15.2915
423,2001-10-10,19.4983
424,2001-10-11,14.0378
425,2001-10-12,14.1893
426,2001-10-15,5.1227
427,2001-10-16,3.2211
428,2001-10-17,8.4509
429,2001-10-18,10.439
430,2001-10-19,8.2228
431,2001-10-22,2.2023
432,2001-10-23,7.6402
433,2001-10-24,8.406
434,2001-10-25,12.5613
435,2001-10-26,16.7401
436,2001-10-29,3.856
437,2001-10-30,2.1838
438,2001-10-31,3.0478
439,2001-11-01,9.292
440,2001-11-02,12.3038
441,2001-11-05,16.1479
442,2001-11-06,19.4947
443,2001-11-07,19.9015
444,2001-11-08,23.6312
445,2001-11-09,23.6312
446,2001-11-12,26.5936
447,2001-11-13,31.9079
448,2001-11-14,26.7274
449,2001-11-15,24.5659
450,2001-11-16,21.3615
451,2001-11-19,22.8654
452,2001-11-20,26.2865
453,2001-11-21,16.159
454,2001-11-23,17.107
455,2001-11-26,21.1303
456,2001-11-27,10.7563
457,2001-11-28,10.6354
458,2001-11-29,14.4681
459,2001-11-30,15.3501
460,2001-12-03,16.1088
461,2001-12-04,20.3666
462,2001-12-05,29.6128
463,2001-12-06,32.8711
464,2001-12-07,25.5032
465,2001-12-10,25.5032
466,2001-12-11,25.5032
467,2001-12-12,19.1824
468,2001-12-13,20.5184
469,2001-12-14,19.3996
470,2001-12-17,25.4367
471,2001-12-18,26.878
472,2001-12-19,29.3083
473,2001-12-20,14.365
474,2001-12-21,14.365
475,2001-12-24,14.4249
476,2001-12-26,20.5096
477,2001-12-27,19.3926
478,2001-12-28,20.2308
479,2001-12-31,7.9888
480,2002-01-02,2.3883
481,2002-01-03,15.6974
482,2002-01-04,19.2708
483,2002-01-07,16.7452
484,2002-01-08,13.9667
485,2002-01-09,18.4054
486,2002-01-10,14.9553
487,2002-01-11,18.0666
488,2002-01-14,15.0006
489,2002-01-15,18.5861
490,2002-01-16,12.9648
491,2002-01-17,14.0209
492,2002-01-18,7.89
493,2002-01-22,14.6671
494,2002-01-23,20.0146
495,2002-01-24,16.4403
496,2002-01-25,18.026
497,2002-01-28,21.2793
498,2002-01-29,26.0184
499,2002-01-30,29.2354
500,2002-01-31,21.5635
501,2002-02-01,16.0642
502,2002-02-04,24.9704
503,2002-02-05,26.169
504,2002-02-06,27.39
505,2002-02-07,29.8329
506,2002-02-08,34.1256
507,2002-02-11,28.8927
508,2002-02-12,28.8927
509,2002-02-13,19.7031
510,2002-02-14,10.7462
511,2002-02-15,17.3173
512,2002-02-19,25.5588
513,2002-02-20,23.7731
514,2002-02-21,27.6618
515,2002-02-22,31.6569
516,2002-02-25,22.237
517,2002-02-26,21.355
518,2002-02-27,20.1112
519,2002-02-28,20.1112
520,2002-03-01,6.2713
521,2002-03-04,7.3223
522,2002-03-05,9.5473
523,2002-03-06,8.4653
524,2002-03-07,6.0398
525,2002-03-08,11.2319
526,2002-03-11,13.0816
527,2002-03-12,3.06
528,2002-03-13,4.5331
529,2002-03-14,1.8873
530,2002-03-15,0.0513
531,2002-03-18,3.4877
532,2002-03-19,3.5604
533,2002-03-20,6.7887
534,2002-03-21,8.6421
535,2002-03-22,8.6421
536,2002-03-25,15.9782
537,2002-03-26,21.2067
538,2002-03-27,21.2067
539,2002-03-28,14.0013
540,2002-04-01,17.1004
541,2002-04-02,29.2875
542,2002-04-03,36.8191
543,2002-04-04,37.1691
544,2002-04-05,33.9469
545,2002-04-08,40.9392
546,2002-04-09,39.7564
547,2002-04-10,39.7564
548,2002-04-11,42.2619
549,2002-04-12,42.2619
550,2002-04-15,36.748
551,2002-04-16,22.9301
552,2002-04-17,21.2111
553,2002-04-18,39.6642
554,2002-04-19,33.7568
555,2002-04-22,41.0439
556,2002-04-23,46.6864
557,2002-04-24,47.6176
558,2002-04-25,48.0001
559,2002-04-26,52.3349
560,2002-04-29,52.3938
561,2002-04-30,48.6279
562,2002-05-01,52.6104
563,2002-05-02,44.3817
564,2002-05-03,49.702
565,2002-05-06,52.9923
566,2002-05-07,53.049
567,2002-05-08,17.9843
568,2002-05-09,17.8022
569,2002-05-10,25.508
570,2002-05-13,26.4204
571,2002-05-14,13.1133
572,2002-05-15,5.9315
573,2002-05-16,5.9315
574,2002-05-17,3.913
575,2002-05-20,12.3256
576,2002-05-21,18.1633
577,2002-05-22,19.319
578,2002-05-23,12.6222
579,2002-05-24,12.6222
580,2002-05-28,18.4625
581,2002-05-29,19.3424
582,2002-05-30,15.1568
583,2002-05-31,17.7658
584,2002-06-03,25.285
585,2002-06-04,25.285
586,2002-06-05,21.5404
587,2002-06-06,18.7387
588,2002-06-07,15.4348
589,2002-06-10,10.5095
590,2002-06-11,4.6032
591,2002-06-12,5.1035
592,2002-06-13,5.1035
593,2002-06-14,2.4213
594,2002-06-17,3.0004
595,2002-06-18,2.8716
596,2002-06-19,3.6599
597,2002-06-20,6.2157
598,2002-06-21,15.3352
599,2002-06-24,17.5746
600,2002-06-25,14.8964
601,2002-06-26,23.7804
602,2002-06-27,19.6483
603,2002-06-28,13.4854
604,2002-07-01,20.6709
605,2002-07-02,26.3399
606,2002-07-03,30.0445
607,2002-07-05,13.7569
608,2002-07-08,15.9453
609,2002-07-09,15.9453
610,2002-07-10,19.9669
611,2002-07-11,23.978
612,2002-07-12,19.2593
613,2002-07-15,33.3408
