,date,MACD_Signal,MACD_Hist,MACD
198,2000-11-30,1.2255,-1.1809,0.0446
199,2000-12-01,0.8338,-1.5666,-0.7328
200,2000-12-04,0.3973,-1.746,-1.3487
201,2000-12-05,0.0096,-1.551,-1.5415
202,2000-12-06,-0.3782,-1.5512,-1.9294
203,2000-12-07,-0.8016,-1.6937,-2.4953
204,2000-12-08,-1.2025,-1.6033,-2.8058
205,2000-12-11,-1.5076,-1.2206,-2.7282
206,2000-12-12,-1.7283,-0.8826,-2.6109
207,2000-12-13,-1.8985,-0.6808,-2.5793
208,2000-12-14,-2.0518,-0.6131,-2.6648
209,2000-12-15,-2.2824,-0.9224,-3.2048
210,2000-12-18,-2.5662,-1.1352,-3.7014
211,2000-12-19,-2.9105,-1.3772,-4.2876
212,2000-12-20,-3.3208,-1.6413,-4.9621
213,2000-12-21,-3.7125,-1.5668,-5.2792
214,2000-12-22,-4.0156,-1.2126,-5.2282
215,2000-12-26,-4.2312,-0.8624,-5.0936
216,2000-12-27,-4.378,-0.5871,-4.9651
217,2000-12-28,-4.494,-0.4639,-4.9579
218,2000-12-29,-4.5932,-0.3967,-4.9898
219,2001-01-02,-4.6661,-0.2919,-4.958
220,2001-01-03,-4.6355,0.1226,-4.5128
221,2001-01-04,-4.5229,0.4502,-4.0727
222,2001-01-05,-4.3436,0.7172,-3.6264
223,2001-01-08,-4.125,0.8744,-3.2506
224,2001-01-09,-3.838,1.1479,-2.6902
225,2001-01-10,-3.4975,1.3624,-2.1351
226,2001-01-11,-3.0993,1.5926,-1.5067
227,2001-01-12,-2.7028,1.5859,-1.1169
228,2001-01-16,-2.337,1.4633,-0.8738
229,2001-01-17,-1.9982,1.3552,-0.643
230,2001-01-18,-1.6487,1.3981,-0.2506
231,2001-01-19,-1.2193,1.7176,0.4984
232,2001-01-22,-0.7734,1.7835,1.0101
233,2001-01-23,-0.332,1.7658,1.4338
234,2001-01-24,0.1223,1.817,1.9393
235,2001-01-25,0.5425,1.6807,2.2231
236,2001-01-26,0.9529,1.6419,2.5949
237,2001-01-29,1.3416,1.5548,2.8964
238,2001-01-30,1.6754,1.3349,3.0103
239,2001-01-31,1.9163,0.9638,2.8802
240,2001-02-01,2.1032,0.7475,2.8507
241,2001-02-02,2.2165,0.4533,2.6699
242,2001-02-05,2.2908,0.2971,2.5879
243,2001-02-06,2.3414,0.2023,2.5437
244,2001-02-07,2.4031,0.2468,2.6499
245,2001-02-08,2.4241,0.0842,2.5083
246,2001-02-09,2.3633,-0.2434,2.1199
247,2001-02-12,2.2429,-0.4817,1.7611
248,2001-02-13,2.0774,-0.662,1.4153
249,2001-02-14,1.8906,-0.7472,1.1434
250,2001-02-15,1.7028,-0.7512,0.9516
251,2001-02-16,1.4964,-0.8255,0.6709
252,2001-02-20,1.2629,-0.9338,0.3292
253,2001-02-21,1.0278,-0.9406,0.0872
254,2001-02-22,0.7847,-0.9725,-0.1879
255,2001-02-23,0.5724,-0.8492,-0.2768
256,2001-02-26,0.4341,-0.5533,-0.1192
257,2001-02-27,0.3455,-0.3542,-0.0087
258,2001-02-28,0.2859,-0.2383,0.0477
259,2001-03-01,0.2527,-0.1328,0.12
260,2001-03-02,0.1947,-0.2324,-0.0377
261,2001-03-05,0.1355,-0.2365,-0.101
262,2001-03-06,0.1104,-0.1003,0.0101
263,2001-03-07,0.1277,0.0691,0.1968
264,2001-03-08,0.1473,0.0785,0.2259
265,2001-03-09,0.1263,-0.0843,0.0419
266,2001-03-12,0.0047,-0.4863,-0.4816
