,date,EMA
318,2001-05-04,65.803
319,2001-05-07,66.3342
320,2001-05-08,66.8795
321,2001-05-09,67.2148
322,2001-05-10,67.48
323,2001-05-11,67.6629
324,2001-05-14,67.7636
325,2001-05-15,67.8118
326,2001-05-16,67.9402
327,2001-05-17,67.9621
328,2001-05-18,67.9743
329,2001-05-21,68.0519
330,2001-05-22,68.267
331,2001-05-23,68.4035
332,2001-05-24,68.7193
333,2001-05-25,68.928
334,2001-05-29,69.0625
335,2001-05-30,69.0746
336,2001-05-31,69.0846
337,2001-06-01,69.2042
338,2001-06-04,69.3543
339,2001-06-05,69.6634
340,2001-06-06,69.9202
341,2001-06-07,70.2783
342,2001-06-08,70.5556
343,2001-06-11,70.7046
344,2001-06-12,70.8356
345,2001-06-13,70.8217
346,2001-06-14,70.6387
347,2001-06-15,70.3893
348,2001-06-18,70.0551
349,2001-06-19,69.7946
350,2001-06-20,69.758
351,2001-06-21,69.7658
352,2001-06-22,69.6767
353,2001-06-25,69.5979
354,2001-06-26,69.6496
355,2001-06-27,69.7915
356,2001-06-28,70.0723
357,2001-06-29,70.3511
358,2001-07-02,70.3748
359,2001-07-03,70.3839
360,2001-07-05,70.2054
361,2001-07-06,69.8106
362,2001-07-09,69.4182
363,2001-07-10,68.9479
364,2001-07-11,68.7148
365,2001-07-12,68.9895
366,2001-07-13,69.2134
367,2001-07-16,69.4007
368,2001-07-17,69.6311
369,2001-07-18,69.7205
370,2001-07-19,69.9919
371,2001-07-20,69.9146
372,2001-07-23,69.6456
373,2001-07-24,69.3288
374,2001-07-25,69.1528
375,2001-07-26,68.9087
376,2001-07-27,68.5812
377,2001-07-30,68.3163
378,2001-07-31,68.1138
379,2001-08-01,67.9573
380,2001-08-02,67.909
381,2001-08-03,67.8119
382,2001-08-06,67.6517
383,2001-08-07,67.5278
384,2001-08-08,67.2737
385,2001-08-09,67.0581
386,2001-08-10,66.9116
387,2001-08-13,66.8086
388,2001-08-14,66.6068
389,2001-08-15,66.2824
390,2001-08-16,66.124
391,2001-08-17,65.7199
392,2001-08-20,65.4322
393,2001-08-21,64.9892
394,2001-08-22,64.5769
395,2001-08-23,64.0572
396,2001-08-24,63.866
397,2001-08-27,63.7178
398,2001-08-28,63.4342
399,2001-08-29,63.131
400,2001-08-30,62.5413
401,2001-08-31,62.0184
402,2001-09-04,61.4547
403,2001-09-05,61.1009
404,2001-09-06,60.617
405,2001-09-07,60.1202
406,2001-09-10,59.8782
407,2001-09-17,59.2146
408,2001-09-18,58.7485
409,2001-09-19,58.2838
410,2001-09-20,57.5673
411,2001-09-21,56.819
412,2001-09-24,56.361
413,2001-09-25,55.879
414,2001-09-26,55.3448
415,2001-09-27,54.8319
416,2001-09-28,54.4832
417,2001-10-01,54.2267
418,2001-10-02,54.1146
419,2001-10-03,54.3161
420,2001-10-04,54.5184
421,2001-10-05,54.8233
422,2001-10-08,55.1296
423,2001-10-09,55.0754
424,2001-10-10,55.1168
425,2001-10-11,55.2314
426,2001-10-12,55.3408
427,2001-10-15,55.5997
428,2001-10-16,55.8712
429,2001-10-17,55.8863
430,2001-10-18,55.9686
431,2001-10-19,56.1525
432,2001-10-22,56.5342
433,2001-10-23,56.9052
434,2001-10-24,57.3257
435,2001-10-25,57.8242
436,2001-10-26,58.2409
437,2001-10-29,58.3742
438,2001-10-30,58.4223
439,2001-10-31,58.3964
440,2001-11-01,58.7244
441,2001-11-02,58.9792
442,2001-11-05,59.3878
443,2001-11-06,59.9014
444,2001-11-07,60.3155
445,2001-11-08,60.7064
446,2001-11-09,61.1353
447,2001-11-12,61.5786
448,2001-11-13,62.1807
449,2001-11-14,62.5397
450,2001-11-15,62.8806
451,2001-11-16,63.1539
452,2001-11-19,63.4764
453,2001-11-20,63.6596
454,2001-11-21,63.6968
455,2001-11-23,63.7933
456,2001-11-26,63.9215
457,2001-11-27,63.9042
458,2001-11-28,63.7991
459,2001-11-29,63.8982
460,2001-11-30,63.9279
461,2001-12-03,64.0081
462,2001-12-04,64.1978
463,2001-12-05,64.5695
464,2001-12-06,64.9581
465,2001-12-07,65.2316
466,2001-12-10,65.4057
467,2001-12-11,65.588
468,2001-12-12,65.813
469,2001-12-13,65.8565
470,2001-12-14,66.0073
471,2001-12-17,66.2904
472,2001-12-18,66.5742
473,2001-12-19,66.8519
474,2001-12-20,66.8431
475,2001-12-21,66.9095
476,2001-12-24,66.9438
477,2001-12-26,67.014
478,2001-12-27,67.0936
479,2001-12-28,67.1675
480,2001-12-31,67.0801
481,2002-01-02,67.0763
482,2002-01-03,67.2814
483,2002-01-04,67.4356
484,2002-01-07,67.5427
485,2002-01-08,67.7177
486,2002-01-09,67.8122
487,2002-01-10,67.952
488,2002-01-11,68.0146
489,2002-01-14,68.058
490,2002-01-15,68.2001
491,2002-01-16,68.1687
492,2002-01-17,68.3297
493,2002-01-18,68.1174
494,2002-01-22,67.7691
495,2002-01-23,67.3853
496,2002-01-24,67.1201
497,2002-01-25,66.8039
498,2002-01-28,66.5197
499,2002-01-29,66.1197
500,2002-01-30,65.8083
501,2002-01-31,65.6085
502,2002-02-01,65.3277
503,2002-02-04,64.9269
504,2002-02-05,64.5672
505,2002-02-06,64.1704
506,2002-02-07,63.7541
507,2002-02-08,63.4585
508,2002-02-11,63.2367
509,2002-02-12,62.9418
510,2002-02-13,62.835
511,2002-02-14,62.725
512,2002-02-15,62.4874
513,2002-02-19,62.1486
514,2002-02-20,61.9344
515,2002-02-21,61.5645
516,2002-02-22,61.224
517,2002-02-25,61.0198
518,2002-02-26,60.7846
519,2002-02-27,60.5566
520,2002-02-28,60.3455
521,2002-03-01,60.443
522,2002-03-04,60.7151
523,2002-03-05,60.9404
524,2002-03-06,61.1965
525,2002-03-07,61.3416
526,2002-03-08,61.59
527,2002-03-11,61.8519
528,2002-03-12,61.9175
529,2002-03-13,61.9348
530,2002-03-14,61.8668
531,2002-03-15,61.9261
532,2002-03-18,61.9465
533,2002-03-19,61.9735
534,2002-03-20,61.7951
535,2002-03-21,61.7536
536,2002-03-22,61.6295
537,2002-03-25,61.401
538,2002-03-26,61.1799
539,2002-03-27,61.0142
540,2002-03-28,60.9471
541,2002-04-01,60.8931
542,2002-04-02,60.549
543,2002-04-03,60.1472
544,2002-04-04,59.7951
545,2002-04-05,59.4213
546,2002-04-08,59.2116
547,2002-04-09,58.7981
548,2002-04-10,58.5602
549,2002-04-11,58.2012
550,2002-04-12,57.9849
551,2002-04-15,57.7663
552,2002-04-16,57.7705
553,2002-04-17,57.6618
554,2002-04-18,57.5388
555,2002-04-19,57.5065
556,2002-04-22,57.324
557,2002-04-23,57.0065
558,2002-04-24,56.6268
559,2002-04-25,56.3509
560,2002-04-26,55.8889
561,2002-04-29,55.5414
562,2002-04-30,55.2289
563,2002-05-01,54.9928
564,2002-05-02,54.6326
565,2002-05-03,54.1495
566,2002-05-06,53.6228
567,2002-05-07,53.2273
568,2002-05-08,53.3933
569,2002-05-09,53.272
570,2002-05-10,52.9652
571,2002-05-13,52.939
572,2002-05-14,53.1238
573,2002-05-15,53.2787
574,2002-05-16,53.5131
575,2002-05-17,53.7528
576,2002-05-20,53.7773
577,2002-05-21,53.6261
578,2002-05-22,53.6322
579,2002-05-23,53.7453
580,2002-05-24,53.6991
581,2002-05-28,53.5678
582,2002-05-29,53.4232
583,2002-05-30,53.3486
584,2002-05-31,53.1164
585,2002-06-03,52.7643
586,2002-06-04,52.4992
587,2002-06-05,52.4192
588,2002-06-06,52.3698
589,2002-06-07,52.3327
590,2002-06-10,52.3791
591,2002-06-11,52.3973
592,2002-06-12,52.6966
593,2002-06-13,52.8417
594,2002-06-14,53.071
595,2002-06-17,53.3195
596,2002-06-18,53.5738
597,2002-06-19,53.6487
598,2002-06-20,53.6917
599,2002-06-21,53.5572
600,2002-06-24,53.6146
601,2002-06-25,53.5513
602,2002-06-26,53.6065
603,2002-06-27,53.7316
604,2002-06-28,53.8238
605,2002-07-01,53.713
606,2002-07-02,53.4965
607,2002-07-03,53.3387
608,2002-07-05,53.4827
609,2002-07-08,53.4291
610,2002-07-09,53.4082
611,2002-07-10,53.2969
612,2002-07-11,53.2601
613,2002-07-12,53.1268
614,2002-07-15,53.0004
615,2002-07-16,52.8337
616,2002-07-17,52.7543
617,2002-07-18,52.5977
618,2002-07-19,52.3084
619,2002-07-22,51.8514
620,2002-07-23,51.0094
621,2002-07-24,50.5542
622,2002-07-25,49.8185
623,2002-07-26,49.393
624,2002-07-29,49.2841
625,2002-07-30,49.1713
626,2002-07-31,49.0579
627,2002-08-01,48.7428
628,2002-08-02,48.3302
629,2002-08-05,47.9168
630,2002-08-06,47.7029
631,2002-08-07,47.6445
632,2002-08-08,47.765
633,2002-08-09,47.7988
634,2002-08-12,47.8627
635,2002-08-13,47.7863
636,2002-08-14,47.9695
637,2002-08-15,48.141
638,2002-08-16,48.318
639,2002-08-19,48.6687
640,2002-08-20,48.8945
641,2002-08-21,49.217
642,2002-08-22,49.5992
643,2002-08-23,49.8488
644,2002-08-26,50.0632
645,2002-08-27,50.1371
646,2002-08-28,50.065
647,2002-08-29,50.1141
648,2002-08-30,50.0156
649,2002-09-03,49.7303
650,2002-09-04,49.5855
651,2002-09-05,49.2355
652,2002-09-06,49.1007
