,date,CMO
423,2001-10-10,-6.3744
424,2001-10-11,-3.1957
425,2001-10-12,-2.9559
426,2001-10-15,3.6456
427,2001-10-16,5.132
428,2001-10-17,-4.4916
429,2001-10-18,-1.5795
430,2001-10-19,2.967
431,2001-10-22,11.1899
432,2001-10-23,12.1264
433,2001-10-24,15.228
434,2001-10-25,19.4003
435,2001-10-26,17.631
436,2001-10-29,5.8862
437,2001-10-30,2.6824
438,2001-10-31,-0.3657
439,2001-11-01,13.3244
440,2001-11-02,11.4168
441,2001-11-05,17.6203
442,2001-11-06,22.2485
443,2001-11-07,19.7626
444,2001-11-08,20.3097
445,2001-11-09,22.882
446,2001-11-12,24.759
447,2001-11-13,31.1738
448,2001-11-14,21.1276
449,2001-11-15,21.6781
450,2001-11-16,19.7632
451,2001-11-19,22.5042
452,2001-11-20,16.4608
453,2001-11-21,9.714
454,2001-11-23,12.3278
455,2001-11-26,14.0345
456,2001-11-27,6.9022
457,2001-11-28,2.3766
458,2001-11-29,10.9851
459,2001-11-30,7.8923
460,2001-12-03,10.2329
461,2001-12-04,15.2143
462,2001-12-05,22.9031
463,2001-12-06,24.7836
464,2001-12-07,20.1831
465,2001-12-10,15.9574
466,2001-12-11,16.9947
467,2001-12-12,19.5282
468,2001-12-13,10.0959
469,2001-12-14,15.0124
470,2001-12-17,20.9982
471,2001-12-18,22.086
472,2001-12-19,22.9333
473,2001-12-20,7.6418
474,2001-12-21,10.9724
475,2001-12-24,9.5331
476,2001-12-26,11.3705
477,2001-12-27,12.1492
478,2001-12-28,12.2447
479,2001-12-31,2.7248
480,2002-01-02,6.7832
481,2002-01-03,16.8999
482,2002-01-04,14.9216
483,2002-01-07,12.8504
484,2002-01-08,16.6634
485,2002-01-09,12.4325
486,2002-01-10,15.187
487,2002-01-11,10.8719
488,2002-01-14,9.9658
489,2002-01-15,15.5689
490,2002-01-16,4.8812
491,2002-01-17,14.7153
492,2002-01-18,-4.85
493,2002-01-22,-11.7598
494,2002-01-23,-14.6249
495,2002-01-24,-10.1289
496,2002-01-25,-13.453
497,2002-01-28,-13.3427
498,2002-01-29,-19.5209
499,2002-01-30,-16.4335
500,2002-01-31,-11.5133
501,2002-02-01,-16.0713
502,2002-02-04,-22.2541
503,2002-02-05,-22.0697
504,2002-02-06,-25.0449
505,2002-02-07,-27.3796
506,2002-02-08,-21.7256
507,2002-02-11,-18.5965
508,2002-02-12,-22.8995
509,2002-02-13,-12.2961
510,2002-02-14,-12.9548
511,2002-02-15,-19.5435
512,2002-02-19,-24.9076
513,2002-02-20,-18.6922
514,2002-02-21,-26.0769
515,2002-02-22,-26.3054
516,2002-02-25,-19.2562
517,2002-02-26,-21.4986
518,2002-02-27,-22.1854
519,2002-02-28,-22.4087
520,2002-03-01,-3.4696
521,2002-03-04,6.2553
522,2002-03-05,5.0704
523,2002-03-06,7.7768
524,2002-03-07,2.6785
525,2002-03-08,8.8156
526,2002-03-11,10.6952
527,2002-03-12,0.6187
528,2002-03-13,-1.6841
529,2002-03-14,-6.2035
530,2002-03-15,0.7287
531,2002-03-18,-1.1432
532,2002-03-19,-0.6369
533,2002-03-20,-11.6526
534,2002-03-21,-4.4427
535,2002-03-22,-8.9142
536,2002-03-25,-14.5567
537,2002-03-26,-15.2362
538,2002-03-27,-12.9664
539,2002-03-28,-7.5761
540,2002-04-01,-7.1431
541,2002-04-02,-21.8134
542,2002-04-03,-25.6049
543,2002-04-04,-24.8002
544,2002-04-05,-27.1739
545,2002-04-08,-18.0446
546,2002-04-09,-27.5717
547,2002-04-10,-18.7309
548,2002-04-11,-24.5432
549,2002-04-12,-17.8453
550,2002-04-15,-18.8129
551,2002-04-16,-7.0857
552,2002-04-17,-12.1652
553,2002-04-18,-13.2649
554,2002-04-19,-8.6918
555,2002-04-22,-15.646
556,2002-04-23,-21.8707
557,2002-04-24,-25.3845
558,2002-04-25,-21.1852
559,2002-04-26,-29.0421
560,2002-04-29,-24.6999
561,2002-04-30,-24.5806
562,2002-05-01,-21.5818
