,date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
158,2000-08-11,3275.0,3275.5,3262.1001,3270.1001,3270.1001,0.0,0.0,1.0
159,2000-08-14,3270.1001,3283.3999,3270.1001,3275.8999,3275.8999,0.0,0.0,1.0
160,2000-08-15,3275.8999,3287.8,3272.5,3283.8,3283.8,0.0,0.0,1.0
161,2000-08-16,3283.8,3299.3999,3281.2,3293.0,3293.0,0.0,0.0,1.0
162,2000-08-17,3293.0,3310.1001,3290.1001,3297.0,3297.0,0.0,0.0,1.0
163,2000-08-18,3297.0,3307.3999,3295.6001,3303.5,3303.5,0.0,0.0,1.0
164,2000-08-21,3303.5,3304.1001,3294.0,3298.8999,3298.8999,0.0,0.0,1.0
165,2000-08-22,3298.8999,3315.8999,3295.3999,3312.8999,3312.8999,0.0,0.0,1.0
166,2000-08-23,3312.8999,3328.6001,3312.5,3322.7,3322.7,0.0,0.0,1.0
167,2000-08-24,3322.7,3343.7,3320.1001,3330.3999,3330.3999,0.0,0.0,1.0
168,2000-08-25,3330.3999,3335.0,3320.0,3326.3,3326.3,0.0,0.0,1.0
169,2000-08-27,3326.3,3340.3999,3322.7,3322.7,3322.7,0.0,0.0,1.0
170,2000-08-28,3322.7,3336.6001,3321.6001,3326.7,3326.7,0.0,0.0,1.0
171,2000-08-29,3326.7,3335.1001,3305.2,3316.3,3316.3,0.0,0.0,1.0
172,2000-08-30,3316.3,3316.3,3261.7,3261.7,3261.7,0.0,0.0,1.0
173,2000-08-31,3261.7,3296.8,3261.7,3293.3999,3293.3999,0.0,0.0,1.0
174,2000-09-03,3293.3999,3308.3999,3287.2,3299.3999,3299.3999,0.0,0.0,1.0
175,2000-09-04,3299.3999,3316.0,3298.3999,3307.0,3307.0,0.0,0.0,1.0
176,2000-09-05,3307.0,3307.3999,3275.2,3281.7,3281.7,0.0,0.0,1.0
177,2000-09-06,3281.7,3281.7,3256.8999,3266.3999,3266.3999,0.0,0.0,1.0
178,2000-09-07,3266.3999,3283.7,3266.3999,3278.8999,3278.8999,0.0,0.0,1.0
179,2000-09-10,3279.0,3279.0,3255.0,3255.0,3255.0,0.0,0.0,1.0
180,2000-09-11,3255.0,3278.8,3255.0,3276.3,3276.3,0.0,0.0,1.0
181,2000-09-12,3276.1001,3294.0,3267.8999,3285.5,3285.5,0.0,0.0,1.0
182,2000-09-13,3285.5,3302.8999,3282.6001,3294.1001,3294.1001,0.0,0.0,1.0
183,2000-09-14,3294.1001,3306.0,3272.7,3280.5,3280.5,0.0,0.0,1.0
184,2000-09-17,3280.5,3280.5,3223.3999,3228.0,3228.0,0.0,0.0,1.0
185,2000-09-18,3228.0,3228.0,3175.8999,3188.2,3188.2,0.0,0.0,1.0
186,2000-09-19,3188.2,3206.5,3187.1001,3206.5,3206.5,0.0,0.0,1.0
187,2000-09-20,3206.5,3208.2,3196.5,3204.8999,3204.8999,0.0,0.0,1.0
188,2000-09-21,3204.8999,3204.8999,3131.8999,3143.5,3143.5,0.0,0.0,1.0
189,2000-09-24,3143.5,3176.2,3143.5,3167.3,3167.3,0.0,0.0,1.0
190,2000-09-25,3167.3,3192.5,3154.0,3191.2,3191.2,0.0,0.0,1.0
191,2000-09-26,3191.2,3211.3999,3180.1001,3204.3,3204.3,0.0,0.0,1.0
192,2000-09-27,3204.3,3238.6001,3204.3,3236.8,3236.8,0.0,0.0,1.0
193,2000-09-28,3236.8,3248.5,3229.8999,3246.1001,3246.1001,0.0,0.0,1.0
194,2000-10-01,3246.1001,3251.8999,3230.3,3248.2,3248.2,0.0,0.0,1.0
195,2000-10-02,3248.2,3276.8999,3234.8,3274.3,3274.3,0.0,0.0,1.0
196,2000-10-03,3274.3,3274.3,3255.6001,3265.5,3265.5,0.0,0.0,1.0
197,2000-10-04,3265.5,3265.5,3248.2,3260.3,3260.3,0.0,0.0,1.0
198,2000-10-05,3260.3,3260.3,3230.3,3244.8,3244.8,0.0,0.0,1.0
199,2000-10-08,3244.8,3244.8,3207.3,3226.2,3226.2,0.0,0.0,1.0
200,2000-10-09,3226.2,3235.7,3212.8,3216.8999,3216.8999,0.0,0.0,1.0
201,2000-10-10,3216.8999,3217.1001,3197.7,3213.1001,3213.1001,0.0,0.0,1.0
202,2000-10-11,3213.1001,3213.1001,3176.3999,3180.3999,3180.3999,0.0,0.0,1.0
203,2000-10-12,3180.3999,3180.3999,3142.2,3157.6001,3157.6001,0.0,0.0,1.0
204,2000-10-15,3157.6001,3219.3999,3157.6001,3219.3999,3219.3999,0.0,0.0,1.0
205,2000-10-16,3219.3999,3222.8,3205.2,3216.0,3216.0,0.0,0.0,1.0
206,2000-10-17,3216.0,3216.0,3171.1001,3180.3999,3180.3999,0.0,0.0,1.0
207,2000-10-18,3180.3999,3180.3999,3136.5,3147.5,3147.5,0.0,0.0,1.0
208,2000-10-19,3147.5,3198.3999,3147.5,3187.8,3187.8,0.0,0.0,1.0
209,2000-10-22,3187.8,3218.8,3184.3999,3217.1001,3217.1001,0.0,0.0,1.0
210,2000-10-23,3217.1001,3221.1001,3208.1001,3209.6001,3209.6001,0.0,0.0,1.0
211,2000-10-24,3209.6001,3213.2,3197.8,3213.2,3213.2,0.0,0.0,1.0
212,2000-10-25,3213.2,3213.2,3186.0,3190.3,3190.3,0.0,0.0,1.0
213,2000-10-26,3190.3,3211.8999,3188.7,3195.7,3195.7,0.0,0.0,1.0
214,2000-10-29,3195.7,3218.3999,3195.6001,3213.0,3213.0,0.0,0.0,1.0
215,2000-10-30,3213.0,3217.2,3200.0,3203.8999,3203.8999,0.0,0.0,1.0
216,2000-10-31,3203.8999,3233.8,3203.8999,3224.2,3224.2,0.0,0.0,1.0
217,2000-11-01,3224.2,3239.7,3209.3999,3236.0,3236.0,0.0,0.0,1.0
218,2000-11-02,3236.0,3272.1001,3233.7,3266.5,3266.5,0.0,0.0,1.0
219,2000-11-05,3266.5,3288.3,3260.1001,3279.0,3279.0,0.0,0.0,1.0
220,2000-11-06,3279.0,3321.8,3278.3,3314.3,3314.3,0.0,0.0,1.0
221,2000-11-07,3314.3,3314.3,3293.0,3298.2,3298.2,0.0,0.0,1.0
222,2000-11-08,3298.2,3298.2,3260.3,3279.8999,3279.8999,0.0,0.0,1.0
223,2000-11-09,3279.8999,3279.8999,3243.3,3250.8,3250.8,0.0,0.0,1.0
224,2000-11-12,3250.8,3262.6001,3237.5,3240.8,3240.8,0.0,0.0,1.0
225,2000-11-13,3240.8,3249.3,3224.5,3241.3,3241.3,0.0,0.0,1.0
226,2000-11-14,3241.3,3268.8999,3241.3,3267.3999,3267.3999,0.0,0.0,1.0
227,2000-11-15,3267.3999,3267.3999,3248.3,3251.5,3251.5,0.0,0.0,1.0
228,2000-11-16,3251.5,3278.3,3243.8,3275.6001,3275.6001,0.0,0.0,1.0
229,2000-11-19,3275.6001,3277.7,3266.8,3271.6001,3271.6001,0.0,0.0,1.0
230,2000-11-20,3271.6001,3271.6001,3246.7,3249.0,3249.0,0.0,0.0,1.0
231,2000-11-21,3249.0,3256.3,3234.0,3234.1001,3234.1001,0.0,0.0,1.0
232,2000-11-22,3234.1001,3234.1001,3215.7,3229.7,3229.7,0.0,0.0,1.0
233,2000-11-23,3229.7,3239.1001,3222.7,3230.7,3230.7,0.0,0.0,1.0
234,2000-11-26,3230.7,3250.5,3230.7,3250.5,3250.5,0.0,0.0,1.0
235,2000-11-27,3250.5,3257.3999,3242.2,3251.8999,3251.8999,0.0,0.0,1.0
236,2000-11-28,3251.8999,3251.8999,3219.3,3223.3999,3223.3999,0.0,0.0,1.0
237,2000-11-29,3223.3999,3240.5,3220.3999,3222.0,3222.0,0.0,0.0,1.0
238,2000-11-30,3222.0,3236.0,3202.5,3229.3999,3229.3999,0.0,0.0,1.0
239,2000-12-03,3229.3999,3232.2,3223.3999,3227.3,3227.3,0.0,0.0,1.0
240,2000-12-04,3227.3,3267.7,3227.3,3250.0,3250.0,0.0,0.0,1.0
241,2000-12-05,3250.0,3290.0,3250.0,3250.8,3250.8,0.0,0.0,1.0
242,2000-12-06,3250.8,3263.8,3230.3999,3252.0,3252.0,0.0,0.0,1.0
243,2000-12-07,3252.0,3252.0,3224.6001,3232.5,3232.5,0.0,0.0,1.0
244,2000-12-10,3232.5,3263.8,3231.1001,3255.8999,3255.8999,0.0,0.0,1.0
245,2000-12-11,3255.8999,3263.3999,3249.3999,3256.3,3256.3,0.0,0.0,1.0
246,2000-12-12,3256.3,3256.3,3240.1001,3241.5,3241.5,0.0,0.0,1.0
247,2000-12-13,3241.5,3241.5,3214.7,3223.1001,3223.1001,0.0,0.0,1.0
248,2000-12-14,3223.1001,3223.1001,3172.0,3178.1001,3178.1001,0.0,0.0,1.0
249,2000-12-17,3178.1001,3187.3,3168.7,3184.3,3184.3,0.0,0.0,1.0
250,2000-12-18,3184.3,3205.3999,3184.3,3203.8,3203.8,0.0,0.0,1.0
251,2000-12-19,3203.8,3203.8,3173.3999,3190.8999,3190.8999,0.0,0.0,1.0
252,2000-12-20,3190.8999,3190.8999,3120.5,3133.7,3133.7,0.0,0.0,1.0
253,2000-12-21,3133.7,3148.7,3133.6001,3142.8999,3142.8999,0.0,0.0,1.0
254,2000-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
255,2000-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256,2000-12-26,3142.8999,3173.3999,3142.6001,3172.8,3172.8,0.0,0.0,1.0
257,2000-12-27,3172.8,3181.7,3164.6001,3180.2,3180.2,0.0,0.0,1.0
258,2000-12-28,3180.2,3222.5,3154.7,3154.7,3154.7,0.0,0.0,1.0
259,2000-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
260,2001-01-01,3154.7,3205.3999,3154.7,3205.3999,3205.3999,0.0,0.0,1.0
261,2001-01-02,3205.3999,3205.3999,3171.0,3180.5,3180.5,0.0,0.0,1.0
262,2001-01-03,3180.5,3235.6001,3180.5,3234.3,3234.3,0.0,0.0,1.0
263,2001-01-04,3234.3,3248.0,3225.3,3240.7,3240.7,0.0,0.0,1.0
264,2001-01-07,3240.7,3240.7,3198.2,3207.5,3207.5,0.0,0.0,1.0
265,2001-01-08,3207.5,3207.6001,3183.2,3189.3999,3189.3999,0.0,0.0,1.0
266,2001-01-09,3189.3999,3191.8,3174.7,3184.5,3184.5,0.0,0.0,1.0
267,2001-01-10,3184.5,3184.5,3170.3,3172.3999,3172.3999,0.0,0.0,1.0
268,2001-01-11,3172.3999,3196.0,3172.3999,3188.6001,3188.6001,0.0,0.0,1.0
269,2001-01-14,3188.6001,3199.8,3185.1001,3195.1001,3195.1001,0.0,0.0,1.0
270,2001-01-15,3195.1001,3195.1001,3184.3,3184.3,3184.3,0.0,0.0,1.0
271,2001-01-16,3184.3,3198.3999,3178.3999,3198.3999,3198.3999,0.0,0.0,1.0
272,2001-01-17,3198.3999,3244.3999,3198.2,3232.5,3232.5,0.0,0.0,1.0
273,2001-01-18,3232.5,3260.7,3232.5,3254.5,3254.5,0.0,0.0,1.0
274,2001-01-21,3254.5,3268.2,3251.5,3263.8999,3263.8999,0.0,0.0,1.0
275,2001-01-22,3263.8999,3264.2,3233.5,3236.1001,3236.1001,0.0,0.0,1.0
276,2001-01-23,3236.1001,3246.3999,3233.3,3245.1001,3245.1001,0.0,0.0,1.0
277,2001-01-24,3245.1001,3273.5,3245.1001,3268.2,3268.2,0.0,0.0,1.0
278,2001-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
279,2001-01-28,3268.2,3271.3999,3250.3,3265.0,3265.0,0.0,0.0,1.0
280,2001-01-29,3265.0,3289.2,3264.8999,3284.1001,3284.1001,0.0,0.0,1.0
281,2001-01-30,3284.1001,3296.3999,3284.1001,3291.5,3291.5,0.0,0.0,1.0
282,2001-01-31,3291.5,3312.1001,3282.1001,3312.1001,3312.1001,0.0,0.0,1.0
283,2001-02-01,3312.1001,3312.1001,3298.6001,3304.7,3304.7,0.0,0.0,1.0
284,2001-02-04,3304.7,3304.7,3261.7,3265.3,3265.3,0.0,0.0,1.0
285,2001-02-05,3265.3,3285.3,3265.3,3276.3,3276.3,0.0,0.0,1.0
286,2001-02-06,3276.3,3277.2,3261.2,3262.8,3262.8,0.0,0.0,1.0
287,2001-02-07,3262.8,3280.0,3262.8,3277.8,3277.8,0.0,0.0,1.0
288,2001-02-08,3277.8,3277.8999,3251.2,3261.3,3261.3,0.0,0.0,1.0
289,2001-02-11,3261.3,3282.5,3250.2,3277.1001,3277.1001,0.0,0.0,1.0
290,2001-02-12,3277.1001,3298.8999,3277.1001,3286.7,3286.7,0.0,0.0,1.0
291,2001-02-13,3286.7,3297.5,3284.0,3294.8,3294.8,0.0,0.0,1.0
292,2001-02-14,3294.8,3295.3999,3264.0,3272.2,3272.2,0.0,0.0,1.0
293,2001-02-15,3272.2,3283.0,3264.8999,3267.1001,3267.1001,0.0,0.0,1.0
294,2001-02-18,3267.1001,3267.1001,3230.5,3240.0,3240.0,0.0,0.0,1.0
295,2001-02-19,3240.0,3259.1001,3237.8999,3250.8,3250.8,0.0,0.0,1.0
296,2001-02-20,3250.8,3261.3,3238.1001,3261.1001,3261.1001,0.0,0.0,1.0
297,2001-02-21,3261.1001,3261.1001,3227.7,3240.3,3240.3,0.0,0.0,1.0
298,2001-02-22,3240.3,3246.7,3232.8999,3241.3999,3241.3999,0.0,0.0,1.0
299,2001-02-25,3241.3999,3255.3999,3235.8999,3249.3,3249.3,0.0,0.0,1.0
300,2001-02-26,3249.3,3264.2,3248.3,3250.7,3250.7,0.0,0.0,1.0
301,2001-02-27,3250.7,3278.3999,3233.8,3274.1001,3274.1001,0.0,0.0,1.0
302,2001-02-28,3274.1001,3294.8999,3257.5,3294.8999,3294.8999,0.0,0.0,1.0
303,2001-03-01,3294.8999,3295.6001,3268.8,3280.2,3280.2,0.0,0.0,1.0
304,2001-03-04,3280.2,3293.8999,3274.8,3288.3999,3288.3999,0.0,0.0,1.0
305,2001-03-05,3288.3999,3288.5,3275.0,3280.3,3280.3,0.0,0.0,1.0
306,2001-03-06,3280.3,3306.2,3274.8,3306.2,3306.2,0.0,0.0,1.0
307,2001-03-07,3306.2,3313.7,3288.3999,3289.3999,3289.3999,0.0,0.0,1.0
308,2001-03-08,3289.3999,3289.3999,3268.8,3276.8999,3276.8999,0.0,0.0,1.0
309,2001-03-11,3276.8999,3276.8999,3244.3999,3265.8,3265.8,0.0,0.0,1.0
310,2001-03-12,3265.8,3265.8,3199.3999,3211.3999,3211.3999,0.0,0.0,1.0
311,2001-03-13,3211.3999,3219.2,3209.7,3211.0,3211.0,0.0,0.0,1.0
312,2001-03-14,3211.0,3211.0,3152.7,3188.3999,3188.3999,0.0,0.0,1.0
313,2001-03-15,3188.3999,3202.5,3188.2,3197.1001,3197.1001,0.0,0.0,1.0
314,2001-03-18,3197.1001,3197.1001,3157.8,3161.5,3161.5,0.0,0.0,1.0
315,2001-03-19,3161.5,3178.8,3156.8999,3175.1001,3175.1001,0.0,0.0,1.0
316,2001-03-20,3174.5,3175.1001,3142.8,3170.3999,3170.3999,0.0,0.0,1.0
317,2001-03-21,3170.3999,3170.3999,3124.0,3135.8,3135.8,0.0,0.0,1.0
318,2001-03-22,3135.8,3135.8,3088.6001,3094.3,3094.3,0.0,0.0,1.0
319,2001-03-26,3094.3,3118.5,3094.0,3112.3999,3112.3999,0.0,0.0,1.0
320,2001-03-27,3112.3999,3131.2,3110.5,3118.1001,3118.1001,0.0,0.0,1.0
321,2001-03-28,3118.1001,3140.8999,3117.1001,3127.3999,3127.3999,0.0,0.0,1.0
322,2001-03-29,3127.3999,3133.7,3101.8999,3125.3,3125.3,0.0,0.0,1.0
323,2001-03-30,3125.3,3125.3,3096.8999,3096.8999,3096.8999,0.0,0.0,1.0
324,2001-04-02,3096.8999,3148.2,3096.8999,3141.1001,3141.1001,0.0,0.0,1.0
325,2001-04-03,3141.1001,3147.7,3131.0,3138.8999,3138.8999,0.0,0.0,1.0
